Loaded sprite sheet: ../game/assets/sprites/Arcade - Galaga - Miscellaneous - General Sprites.png
Dimensions: 458x216
Extracting sprites...

Found 202 sprites:

Index | X    | Y    | Width | Height
------|------|------|-------|-------
0     | 1    | 1    | 16    | 16    
1     | 19   | 1    | 16    | 16    
2     | 37   | 1    | 16    | 16    
3     | 55   | 1    | 16    | 16    
4     | 73   | 1    | 16    | 16    
5     | 91   | 1    | 16    | 16    
6     | 109  | 1    | 16    | 16    
7     | 145  | 1    | 32    | 32    
8     | 179  | 1    | 32    | 32    
9     | 213  | 1    | 32    | 32    
10    | 247  | 1    | 32    | 32    
11    | 289  | 1    | 32    | 32    
12    | 323  | 1    | 32    | 32    
13    | 357  | 1    | 32    | 32    
14    | 391  | 1    | 32    | 32    
15    | 425  | 1    | 32    | 32    
16    | 1    | 19   | 16    | 16    
17    | 19   | 19   | 16    | 16    
18    | 37   | 19   | 16    | 16    
19    | 55   | 19   | 16    | 16    
20    | 73   | 19   | 16    | 16    
21    | 91   | 19   | 16    | 16    
22    | 109  | 19   | 16    | 16    
23    | 289  | 36   | 48    | 80    
24    | 339  | 36   | 48    | 80    
25    | 389  | 36   | 48    | 80    
26    | 1    | 37   | 16    | 16    
27    | 19   | 37   | 16    | 16    
28    | 37   | 37   | 16    | 16    
29    | 55   | 37   | 16    | 16    
30    | 73   | 37   | 16    | 16    
31    | 91   | 37   | 16    | 16    
32    | 109  | 37   | 16    | 16    
33    | 127  | 37   | 16    | 16    
34    | 145  | 37   | 16    | 16    
35    | 163  | 37   | 16    | 16    
36    | 181  | 37   | 16    | 16    
37    | 199  | 37   | 16    | 16    
38    | 217  | 37   | 16    | 16    
39    | 235  | 37   | 16    | 16    
40    | 253  | 37   | 16    | 16    
41    | 271  | 37   | 16    | 16    
42    | 1    | 55   | 16    | 16    
43    | 19   | 55   | 16    | 16    
44    | 37   | 55   | 16    | 16    
45    | 55   | 55   | 16    | 16    
46    | 73   | 55   | 16    | 16    
47    | 91   | 55   | 16    | 16    
48    | 109  | 55   | 16    | 16    
49    | 127  | 55   | 16    | 16    
50    | 145  | 55   | 16    | 16    
51    | 163  | 55   | 16    | 16    
52    | 181  | 55   | 16    | 16    
53    | 199  | 55   | 16    | 16    
54    | 217  | 55   | 16    | 16    
55    | 235  | 55   | 16    | 16    
56    | 253  | 55   | 16    | 16    
57    | 271  | 55   | 16    | 16    
58    | 1    | 73   | 16    | 16    
59    | 19   | 73   | 16    | 16    
60    | 37   | 73   | 16    | 16    
61    | 55   | 73   | 16    | 16    
62    | 73   | 73   | 16    | 16    
63    | 91   | 73   | 16    | 16    
64    | 109  | 73   | 16    | 16    
65    | 127  | 73   | 16    | 16    
66    | 145  | 73   | 16    | 16    
67    | 163  | 73   | 16    | 16    
68    | 181  | 73   | 16    | 16    
69    | 199  | 73   | 16    | 16    
70    | 217  | 73   | 16    | 16    
71    | 235  | 73   | 16    | 16    
72    | 253  | 73   | 16    | 16    
73    | 271  | 73   | 16    | 16    
74    | 1    | 91   | 16    | 16    
75    | 19   | 91   | 16    | 16    
76    | 37   | 91   | 16    | 16    
77    | 55   | 91   | 16    | 16    
78    | 73   | 91   | 16    | 16    
79    | 91   | 91   | 16    | 16    
80    | 109  | 91   | 16    | 16    
81    | 127  | 91   | 16    | 16    
82    | 145  | 91   | 16    | 16    
83    | 163  | 91   | 16    | 16    
84    | 181  | 91   | 16    | 16    
85    | 199  | 91   | 16    | 16    
86    | 217  | 91   | 16    | 16    
87    | 235  | 91   | 16    | 16    
88    | 253  | 91   | 16    | 16    
89    | 1    | 109  | 16    | 16    
90    | 19   | 109  | 16    | 16    
91    | 37   | 109  | 16    | 16    
92    | 55   | 109  | 16    | 16    
93    | 73   | 109  | 16    | 16    
94    | 91   | 109  | 16    | 16    
95    | 109  | 109  | 16    | 16    
96    | 145  | 109  | 16    | 16    
97    | 163  | 109  | 16    | 16    
98    | 181  | 109  | 16    | 16    
99    | 199  | 109  | 16    | 16    
100   | 217  | 109  | 16    | 16    
101   | 235  | 109  | 16    | 16    
102   | 253  | 109  | 16    | 16    
103   | 289  | 118  | 16    | 16    
104   | 307  | 118  | 16    | 16    
105   | 325  | 118  | 16    | 16    
106   | 343  | 118  | 16    | 16    
107   | 361  | 118  | 16    | 16    
108   | 379  | 118  | 16    | 16    
109   | 397  | 118  | 16    | 16    
110   | 415  | 118  | 16    | 16    
111   | 1    | 127  | 16    | 16    
112   | 19   | 127  | 16    | 16    
113   | 37   | 127  | 16    | 16    
114   | 55   | 127  | 16    | 16    
115   | 73   | 127  | 16    | 16    
116   | 91   | 127  | 16    | 16    
117   | 109  | 127  | 16    | 16    
118   | 145  | 127  | 16    | 16    
119   | 163  | 127  | 16    | 16    
120   | 181  | 127  | 16    | 16    
121   | 199  | 127  | 16    | 16    
122   | 217  | 127  | 16    | 16    
123   | 235  | 127  | 16    | 16    
124   | 253  | 127  | 16    | 16    
125   | 289  | 136  | 16    | 16    
126   | 307  | 136  | 16    | 16    
127   | 325  | 136  | 16    | 16    
